,Period,Close,High,Low,Open,Volume,p_change,Prev Close,TR,atr14,atr21,pct_change,p_score,MA5,MA20,ma5_score,ma20_score,rsi,rsi_score,vol_avg5,vol_avg5_score,z_score,z_score_score,score,score_final
60,2022-09-15,11552.3603515625,11760.73046875,11497.1103515625,11633.240234375,4805910000.0,0.006952481095809271,11719.6796875,263.6201171875,289.86879185267856,265.3119419642857,-0.014276784041799329,2,11856.866015625,12063.110498046875,0,0,39.496407574002525,0,4680818000.0,1,-1.052796059934247,2,1.1,30.000000000000004
61,2022-09-16,11448.400390625,11460.4296875,11316.919921875,11401.2099609375,7451840000.0,-0.004139072067717593,11552.3603515625,235.4404296875,269.9488002232143,265.1167224702381,-0.008999023383428173,2,11724.0841796875,11987.263525390625,0,0,37.798190701039985,0,5290868000.0,1,-0.6850756906576736,3,1.3,36.66666666666667
62,2022-09-19,11535.01953125,11538.1298828125,11337.830078125,11338.5703125,4168670000.0,-0.017325748602840002,11448.400390625,200.2998046875,272.806640625,268.5038597470238,0.007566047453750002,3,11577.8060546875,11928.753515625,0,0,40.10882305319959,0,5295266000.0,0,0.469071751719845,3,1.5,43.333333333333336
63,2022-09-20,11425.0498046875,11520.990234375,11343.7197265625,11440.1396484375,4028100000.0,0.0013190261844453078,11535.01953125,191.2998046875,264.1973353794643,263.78148251488096,-0.00953355356396024,2,11536.101953125,11880.927490234375,0,0,38.170187880459125,0,5063210000.0,0,-0.722318310794864,3,1.2000000000000002,33.33333333333334
64,2022-09-21,11220.1904296875,11613.5703125,11218.990234375,11466.2099609375,4471000000.0,0.02145604625138793,11425.0498046875,394.580078125,277.14878627232144,265.8334263392857,-0.017930720522194132,2,11436.2041015625,11822.872021484374,0,0,34.79611606585506,0,4985104000.0,0,-1.3073788193386109,2,1.0,26.666666666666668
65,2022-09-22,11066.8095703125,11203.76953125,11024.6396484375,11167.3798828125,4916470000.0,0.00900572144543823,11220.1904296875,195.55078125,271.85379464285717,268.53492373511904,-0.01367007630896977,2,11339.0939453125,11754.635986328125,0,0,32.48106641095033,0,5007216000.0,0,-1.0105245728395875,2,1.0,26.666666666666668
66,2022-09-23,10867.9296875,10958.2900390625,10732.7197265625,10952.6904296875,5134350000.0,0.00773880561416711,11066.8095703125,334.08984375,269.11732700892856,277.1025390625,-0.017970841690997275,2,11222.9998046875,11666.068994140625,0,0,29.71996588718521,-2,4543718000.0,1,-1.3101742039653652,2,0.7,16.666666666666664
67,2022-09-26,10802.919921875,11024.0,10789.0498046875,10833.3798828125,4697730000.0,0.0028116766205000983,10867.9296875,234.9501953125,271.04736328125,278.30352492559524,-0.005981798511244696,2,11076.5798828125,11599.1294921875,0,0,28.856455913488702,-2,4649530000.0,1,-0.47485489513334833,3,0.9,23.333333333333332
68,2022-09-27,10829.5,11040.98046875,10741.01953125,10955.2900390625,4445050000.0,0.01148212768570977,10802.919921875,299.9609375,272.89027622767856,268.09593563988096,0.002460453129081941,3,10957.469921875,11539.72099609375,0,0,29.755117295653008,-2,4732920000.0,0,0.11334682367380165,3,1.1,30.000000000000004
69,2022-09-28,11051.6396484375,11101.5,10776.33984375,10817.51953125,4556100000.0,-0.02164268033084352,10829.5,325.16015625,279.2445591517857,275.9468936011905,0.0205124565711714,5,10923.759765625,11498.14599609375,1,0,36.92589397484646,0,4749940000.0,0,1.3710941528139198,4,2.4000000000000004,73.33333333333334
70,2022-09-29,10737.509765625,10899.4697265625,10623.2197265625,10894.4404296875,4516630000.0,0.014404655757707554,11051.6396484375,428.419921875,290.52169363839283,281.49879092261904,-0.02842382603896354,1,10857.8998046875,11444.211474609376,0,0,31.957736305752505,0,4669972000.0,0,-2.038470826962036,1,0.5,10.0
71,2022-09-30,10575.6201171875,10883.0400390625,10572.330078125,10697.7099609375,4649710000.0,0.011412708345600032,10737.509765625,310.7099609375,301.4380580357143,286.1392764136905,-0.015077019902302924,2,10799.437890625,11383.735986328125,0,0,29.737194965198782,-2,4573044000.0,1,-1.1085513404746792,2,0.7,16.666666666666664
72,2022-10-03,10815.4296875,10875.4599609375,10577.8896484375,10659.009765625,4415440000.0,-0.01467490182619494,10575.6201171875,299.83984375,275.5708705357143,287.57542782738096,0.022675698224330354,5,10801.93984375,11342.964453125,1,0,36.74831013562377,0,4516586000.0,0,1.5218148980361133,4,2.4000000000000004,73.33333333333334
73,2022-10-04,11176.41015625,11189.9599609375,11044.0400390625,11054.7197265625,5004780000.0,-0.011008006778778825,10815.4296875,374.5302734375,292.0322963169643,287.6768508184524,0.03337643340857799,5,10871.321875,11324.539453125,1,0,45.55515350091345,0,4628532000.0,1,2.267373203572606,5,2.7,83.33333333333334
